Game Name,GA Game Code,Vendor,Category,Released Date,Game Status,Remark,Month
Maya: Temple of Fortune,QM_KMQM_Maya_Temple_Of_Fortune,KingMidas,电子 Slots,1/6/2026,新上架游戏 Newly Added Games,,June 2026
Spicy Gila,QM_KMQM_Spicy_Gila,KingMidas,电子 Slots,1/6/2026,新上架游戏 Newly Added Games,,June 2026
Tomyum Bonanza,QM_KMQM_Tomyum_Bonanza,KingMidas,电子 Slots,1/6/2026,新上架游戏 Newly Added Games,,June 2026
Wild Witch Sugar Bonanza,QM_KMQM_Wild_Witch_Sugar_Bonanza,KingMidas,电子 Slots,1/6/2026,新上架游戏 Newly Added Games,,June 2026
Mahjong Gold: Tiger,LIVE22_35027,Live22,电子 Slots,1/6/2026,新上架游戏 Newly Added Games,,June 2026
Royale Ace,LIVE22_35030,Live22,电子 Slots,1/6/2026,新上架游戏 Newly Added Games,,June 2026
Dragon Tiger 98%,MARBLEX_5001,MARBLEX,Marble,1/6/2026,新上架游戏 Newly Added Games,,June 2026
Preach TV,MG_P2_preachtv,Microgaming,电子 Slots,1/6/2026,新上架游戏 Newly Added Games,,June 2026
Break Away Candy Link&Merge,MG_SMG_breakAwayCandyLinkMerge,Microgaming,电子 Slots,1/6/2026,新上架游戏 Newly Added Games,,June 2026
Wrath of Seth-Split,MG_SMG_wrathofSethSplit,Microgaming,电子 Slots,1/6/2026,新上架游戏 Newly Added Games,,June 2026
Ultimate Goal Blitz,MG_SMG_ultimateGoalBlitz,Microgaming,电子 Slots,1/6/2026,新上架游戏 Newly Added Games,,June 2026
Divine Fortune Black,EVONTT_divinefortur96f1,Netent,电子 Slots,1/6/2026,新上架游戏 Newly Added Games,,June 2026
What's Up? Witches,EVONTT_whatsupwitcr96f1,Netent,电子 Slots,1/6/2026,新上架游戏 Newly Added Games,,June 2026
What's Up? Witches,WCNTT_945,Netent,电子 Slots,1/6/2026,新上架游戏 Newly Added Games,,June 2026
True Grit Redemption 2,EVONLC_truegrit20000000,Nolimit city,电子 Slots,1/6/2026,新上架游戏 Newly Added Games,,June 2026
Tombstone Begins,EVONLC_tombstonebegins0,Nolimit city,电子 Slots,1/6/2026,新上架游戏 Newly Added Games,,June 2026
Tombstone Begins,WCNLC_949,Nolimit city,电子 Slots,1/6/2026,新上架游戏 Newly Added Games,,June 2026
True Grit Redemption 2,WCNLC_951,Nolimit city,电子 Slots,1/6/2026,新上架游戏 Newly Added Games,,June 2026
3 Merry Pines Hold & Win,NOVO_novomatic_3_merry_pines_hw,Novomatic,电子 Slots,1/6/2026,新上架游戏 Newly Added Games,,June 2026
Bells of Glory Hold & Win,NOVO_novomatic_bells_of_glory_hw,Novomatic,电子 Slots,1/6/2026,新上架游戏 Newly Added Games,,June 2026
Bonsai Gold 2 Age of Prosperity,NOVO_novomatic_bonsai_gold_2_aop,Novomatic,电子 Slots,1/6/2026,新上架游戏 Newly Added Games,,June 2026
Book of Flames Multichance Buy Bonus,NOVO_novomatic_book_of_flames_multichance_bb,Novomatic,电子 Slots,1/6/2026,新上架游戏 Newly Added Games,,June 2026
Bounty of the Seas 2: Hold & Win,NOVO_novomatic_bounty_of_the_seas_2hw,Novomatic,电子 Slots,1/6/2026,新上架游戏 Newly Added Games,,June 2026
Cash Connection Charming Lady,NOVO_novomatic_cash_connection_charming_lady,Novomatic,电子 Slots,1/6/2026,新上架游戏 Newly Added Games,,June 2026
Cash Connection Golden Book of Ra,NOVO_novomatic_cc_golden_book_of_ra,Novomatic,电子 Slots,1/6/2026,新上架游戏 Newly Added Games,,June 2026
Devil's Coins Hotifre Hold & Win Buy Bonus,NOVO_novomatic_devils_coins_hotifre_hw_bb,Novomatic,电子 Slots,1/6/2026,新上架游戏 Newly Added Games,,June 2026
Giza Fortunes Hold & Win,NOVO_novomatic_giza_fortunes_hw,Novomatic,电子 Slots,1/6/2026,新上架游戏 Newly Added Games,,June 2026
Jackass Coins Hold & Win Buy Bonus,NOVO_novomatic_jackass_coins_hw_bb,Novomatic,电子 Slots,1/6/2026,新上架游戏 Newly Added Games,,June 2026
Jackass Gold Hold & Win Christmas,NOVO_novomatic_jackass_gold_hw_xmas,Novomatic,电子 Slots,1/6/2026,新上架游戏 Newly Added Games,,June 2026
Joker's Magic Box Hotfire Buy Bonus,NOVO_novomatic_jokers_magic_box_hotfire_bb,Novomatic,电子 Slots,1/6/2026,新上架游戏 Newly Added Games,,June 2026
Madame Moonlight,NOVO_novomatic_madame_moonlight,Novomatic,电子 Slots,1/6/2026,新上架游戏 Newly Added Games,,June 2026
Magma Strike: Blazing Jackpots,NOVO_novomatic_magma_strike_bj,Novomatic,电子 Slots,1/6/2026,新上架游戏 Newly Added Games,,June 2026
Phoenix Hotfire Xpand,NOVO_novomatic_phoenix_hotfire_xpand,Novomatic,电子 Slots,1/6/2026,新上架游戏 Newly Added Games,,June 2026
Phoenix Luck Hotfire Hold & Win Buy Bonus,NOVO_novomatic_phoenix_luck_hotfire_hw_bb,Novomatic,电子 Slots,1/6/2026,新上架游戏 Newly Added Games,,June 2026
